No,邦題,原題,公開年,評価,殿堂入り,鑑賞日,鑑賞場所,上映方式,ジャンル,監督,主要キャスト
1,インターステラー,Interstellar,2014年,9,True,,長野グランドシネマズ,字幕2D,アドベンチャー、ドラマ、サイエンスフィクション,クリストファー・ノーラン,マシュー・マコノヒー、アン・ハサウェイ
2,マッドマックス 怒りのデス・ロード,Mad Max: Fury Road,2015年,10,True,,長野グランドシネマズ,,アクション、アドベンチャー、サイエンスフィクション,ジョージ・ミラー,トム・ハーディ、シャーリーズ・セロン
3,レベル・リッジ,Rebel Ridge,2024年,8,False,,Netflix,,犯罪、アクション、スリラー,Jeremy Saulnier,アーロン・ピエール、ドン・ジョンソン
4,マ・レイニーのブラックボトム,Ma Rainey's Black Bottom,2020年,6,False,,Netflix,,ドラマ、音楽,George C. Wolfe,ヴィオラ・デイヴィス、チャドウィック・ボーズマン
5,時の面影,The Dig,2021年,8,False,,Netflix,,ドラマ、履歴,Simon Stone,キャリー・マリガン、レイフ・ファインズ
6,シング・ストリート 未来へのうた,Sing Street,2016年,8,False,,ディスク,,ロマンス、ドラマ、音楽、コメディ,ジョン・カーニー,フェルディア・ウォルシュ＝ピーロ、ルーシー・ボイントン
7,アイ・アム・マザー,I Am Mother,2019年,6,False,,Netflix,,サイエンスフィクション、スリラー,Grant Sputore,Clara Rugaard、ローズ・バーン
8,ビューティフル・ゲーム,The Beautiful Game,2024年,6,False,,Netflix,,ドラマ,Thea Sharrock,ビル・ナイ、Micheal Ward
9,フィアー・ストリート Part 1: 1994,Fear Street Part One: 1994,2021年,6,False,,Netflix,,ホラー、謎,Leigh Janiak,Kiana Madeira、Olivia Scott Welch
10,フィアー・ストリート Part 2: 1978,Fear Street Part Two: 1978,2021年,6,False,,Netflix,,ホラー、謎,Leigh Janiak,セイディー・シンク、エミリー・ラッド
11,フィアー・ストリート Part 3: 1666666,Fear Street Part Three: 1666,2021年,6,False,,Netflix,,,Leigh Janiak,Kiana Madeira、Benjamin Flores Jr.
12,クロース,Klaus,2019年,8,False,,Netflix,,アニメーション、ファミリー、アドベンチャー、コメディ、ファンタジー,Sergio Pablos,ジェイソン・シュワルツマン、Ｊ・Ｋ・シモンズ
13,ザ・ホワイトタイガー,The White Tiger,2021年,8,False,,Netflix,,ドラマ,Ramin Bahrani,Adarsh Gourav、Rajkummar Rao
14,オーダー,The Order,2024年,4,False,,Netflix,,犯罪、ドラマ、スリラー,Justin Kurzel,ジュード・ロウ、ニコラス・ホルト
15,チャッピー,Chappie,2015年,6,False,,Netflix,,犯罪、アクション、サイエンスフィクション,Neill Blomkamp,Sharlto Copley、Dev Patel
16,チェンジリング,Changeling,2008年,6,False,,ディスク,,犯罪、ドラマ、謎,クリント・イーストウッド,アンジェリーナ・ジョリー、ジョン・マルコヴィッチ
17,チャーリーズ・エンジェル,Charlie's Angels,2000年,4,False,,TV,,アクション、コメディ、アドベンチャー,マックG,キャメロン・ディアス、ドリュー・バリモア
18,チャーリーとチョコレート工場,Charlie and the Chocolate Factory,2005年,4,False,,TV,,アドベンチャー、コメディ、ファミリー、ファンタジー,ティム・バートン,ジョニー・デップ、フレディ・ハイモア
19,エイリアン,Alien,1979年,6,False,,ディスク,,ホラー、サイエンスフィクション,リドリー・スコット,トム・スケリット、シガニー・ウィーバー
20,エイリアン2,Aliens,1986年,6,False,,ディスク,,アクション、スリラー、サイエンスフィクション,ジェームズ・キャメロン,シガニー・ウィーバー、キャリー・ヘン
21,エイリアン3,Alien 3,1992年,6,False,,ディスク,,サイエンスフィクション、アクション、ホラー,デヴィッド・フィンチャー,シガニー・ウィーバー、Charles S. Dutton
22,10 クローバーフィールド・レーン,10 Cloverfield Lane,2016年,8,False,,ディスク,,スリラー、サイエンスフィクション、ドラマ、ホラー,ダン・トラクテンバーグ,ジョン・グッドマン、メアリー・エリザベス・ウィンステッド
23,プロメテウス,Prometheus,2012年,3,False,,ディスク,,サイエンスフィクション、謎,リドリー・スコット,ノオミ・ラパス、マイケル・ファスベンダー
24,エイリアン:コヴェナント,Alien: Covenant,2017年,3,False,,ディスク,,ホラー、サイエンスフィクション,リドリー・スコット,マイケル・ファスベンダー、キャサリン・ウォーターストン
25,エイリアン: ロムルス,Alien: Romulus,2024年,8,False,,,,ホラー、サイエンスフィクション,フェデ・アルバレス,ケイリー・スピーニー、 デヴィッド・ジョンソン
26,ウインド・リバー,Wind River,2017年,8,False,,,,犯罪、謎、ドラマ、スリラー,テイラー・シェリダン,ジェレミー・レナー、エリザベス・オルセン
27,ボーダーライン,Sicario,2015年,6,False,,,,アクション、犯罪、スリラー,ドゥニ・ヴィルヌーヴ,エミリー・ブラント、ベニチオ・デル・トロ
28,ボーダーライン: ソルジャーズ・デイ,Sicario: Day of the Soldado,2018年,8,False,,,,アクション、犯罪、スリラー,ステファノ・ソッリマ,ベニチオ・デル・トロ、ジョシュ・ブローリン
